id,nickname,title,finishYn,ageGrade,dateCreated,averageScore,artist,latest_upload,last_chapter,img_url,page url,intro,genres,categories
1444,vacantly,우두커니,Y,0,20180322143808,9.957233201581028,심우도/심우도,20190430000000,44,http://t1.daumcdn.net/webtoon/op/22a74c4f0490c8883cb1b253ae271ef38df0851a,http://webtoon.daum.net/webtoon/view/vacantly,"어느 날, 아버지에게 치매가 왔다.",드라마,가족/부부/아버지/노인/스토리
1642,goodbyemom,"안녕, 엄마",Y,0,20190225170157,9.956989247311828,김인정/김인정,20190705000000,19,http://t1.daumcdn.net/webtoon/op/95a6e2dd44887622e66b02c07762272a35451b38,http://webtoon.daum.net/webtoon/view/goodbyemom,엄마가 떠났고 엄마를 만났다. 가깝고도 먼 우리의 이별 이야기,드라마/순정,가족/음식/이별/스토리
1614,darkness,어둠이 걷힌 자리엔,Y,0,20190109150921,9.95289416323565,젤리빈/젤리빈,20201030000000,66,http://t1.daumcdn.net/webtoon/op/a88b6f9ac7aaf51ef41766d5e67cd075e022b716,http://webtoon.daum.net/webtoon/view/darkness,<묘진전>작가 신작. 19nn년 경성의 한구석에 자리한 특별한 가게. 그곳에 모이는 기기묘묘한 사연들,미스터리/판타지,기담/사연/귀신/에피소드
1313,LikeButterfly,나빌레라,Y,0,20160722145906,9.950278997981716,지민/Hun,20160816000200,4,http://t1.daumcdn.net/webtoon/op/7e928b34b6881ceb8dd8ec1015fc27bf43e7cf1e,http://webtoon.daum.net/webtoon/view/LikeButterfly,"나이 일흔에 도전을 시작했다. 스물셋, 방황이 시작됐다.",드라마,꿈/발레/도전/희망/스토리
1531,shootingstar,별똥별이 떨어지는 그 곳에서 기다려,A,0,20180824145756,9.949357226334243,만물상/만물상,20200620000100,65,http://t1.daumcdn.net/webtoon/op/d98b831b8924cf88503c0eb4313b2661b356eac3,http://webtoon.daum.net/webtoon/view/shootingstar,실종되는 별똥별들의 행방을 쫓는 마녀와 고양이의 이야기,판타지/순정,동화/마녀/동물/성장드라마/스토리
1457,guriguri,구리의 구리구리,Y,0,20180417171210,9.949263502454992,구리/구리,20180508111051,6,http://t1.daumcdn.net/webtoon/op/497f964753e9d63fad701a2a38f40e09164ecce0,http://webtoon.daum.net/webtoon/view/guriguri,논픽션 좌충우돌 구리의 구리구리한 일상툰,일상/코믹,생활툰/병맛/엽기/공감/에피소드
1346,hellobree,헬로 브리,Y,0,20170209172504,9.948365259974075,기기/기기,20181209000000,77,http://t1.daumcdn.net/cartoon/589C270E0613690002,http://webtoon.daum.net/webtoon/view/hellobree,어느 날 이루어진 이상한 만남. 그러나 별 탈 없이 굴러가는 단순한 사람들,일상/드라마,뱀파이어/술/고양이/힐링/스토리
1299,pocha,쌍갑포차,N,0,20160530134616,9.946773907386598,배혜수/배혜수,20210310000100,216,http://t1.daumcdn.net/webtoon/op/a5224500a171c17afec076fadd6778b9da9cd168,http://webtoon.daum.net/webtoon/view/pocha,"<2017 대한민국 만화대상> 우수상 수상. 늦은 밤, 낯선 곳에 나타난 의문의 포장마차. 그 곳에서 일어나는 이야기들",드라마/판타지,음식/꿈/술/갑질/스토리
1421,rooftopbread,옥탑빵,Y,0,20180206105011,9.945716267776621,bodam/bodam,20190424000000,62,http://t1.daumcdn.net/webtoon/op/0977e22c244562fdd80d43452e52128533497309,http://webtoon.daum.net/webtoon/view/rooftopbread,회사를 그만두고 차린 옥탑방 빵집에서 일어나는 빵냄새 고소한 우리들의 이야기,일상/드라마,힐링/30대/빵/직장인/에피소드
1730,prematurity,조숙의 맛,Y,0,20190724172010,9.943268538516918,이우물/이우물,20200313000000,33,http://t1.daumcdn.net/webtoon/op/a1758ec5608ed26fbe8d3ccb0abf8de62b32db1f,http://webtoon.daum.net/webtoon/view/prematurity,초등학생으로 살아간다는 건 어려운 일이다. 엄마가 교체된다면 더욱 그렇다.,드라마/일상,가족/성장드라마/어린시절/에피소드
1525,AmazingRumor,경이로운 소문,N,15,20180814134003,9.942290791914852,장이/장이,20210304000100,108,http://t1.daumcdn.net/webtoon/op/7a14847c455ff094315e508c2845e2273d316db7,http://webtoon.daum.net/webtoon/view/AmazingRumor,영원불멸의 삶을 위해 지구로 내려온 사후세계 악한 영혼들. 그들을 잡는 카운터들의 이야기.,판타지/스릴러,가족/사후세계/성장드라마/우정/스토리
1386,KimTeachers,우리학교 김선생님,Y,0,20170915155423,9.942284096271827,복슬/복슬,20210120000000,128,http://t1.daumcdn.net/webtoon/op/037b7861925bc1ac9ddccff3dcf7ba27efb49953,http://webtoon.daum.net/webtoon/view/KimTeachers,초보 교사 수지와 완벽한 교사 선우. 너무 다른 두 명의 김 선생님 이야기.,드라마/순정,선생님/성장드라마/연애/학교생활/스토리
1530,i_run,나는 달린다,Y,0,20180824141929,9.941561844863731,이은재/이은재,20181014000000,9,http://t1.daumcdn.net/webtoon/op/c3253c40fad2bb6729735d5caaeb1d27b801794c,http://webtoon.daum.net/webtoon/view/i_run,"육상부 유망주 채준수, 달리고 싶지만 달릴 수 없다. 푸른 하늘 끝까지 달리고 싶은 준수의 성장 드라마",드라마,질병/가난/학교생활/스포츠/스토리
1796,fivedisciple,샬롯에게는 다섯 명의 제자가 있다,N,0,20190916100132,9.941508491508491,용용/용용,20210304000100,77,http://t1.daumcdn.net/webtoon/op/69734650a54b636117eda435ea5f46714361ce56,http://webtoon.daum.net/webtoon/view/fivedisciple,세상을 구한 대마법사. 죽음에서 돌아와 새로운 인생을 살려는데 제자들이 이상하다.,판타지/순정,마법/가출/최강자/스토리
1878,godbaby,신의 태궁,N,0,20200121144637,9.94014447884417,해소금/해소금,20210304000100,47,http://t1.daumcdn.net/webtoon/op/94a5c9202be921ac1ddfa72c1a6399200e18fe22,http://webtoon.daum.net/webtoon/view/godbaby,"신의 아이를 낳아 기르는 여인과, 그를 사랑한 도깨비의 이야기",순정/판타지,동양/도깨비/신화/스토리
1466,dawnwings,새벽날개,Y,0,20180503171033,9.93975004663309,박흥용/박흥용,20190220000000,42,http://t1.daumcdn.net/webtoon/op/e54339607658cb192bce4d07cf482d9692033647,http://webtoon.daum.net/webtoon/view/dawnwings,"오토바이에 앉아 먹고, 오토바이에 기대어 사랑하고, 오토바이 타며 생각하고.",드라마,성장드라마/로드무비/삶/여행/스토리
1314,BeforeWarm,발자국이 녹기 전에,Y,0,20160816100744,9.939526379164251,서결/서결,20161231000200,21,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/57B3BF250217DA0001,http://webtoon.daum.net/webtoon/view/BeforeWarm,"가상의 조선, 세상에 의한 아픔을 가진 사람들의 사랑 이야기",드라마/순정,연애/왕자/조선시대/기생/스토리
1549,sadstop,애휴,Y,0,20180920125632,9.939363314805457,조금산/조금산,20181214000000,13,http://t1.daumcdn.net/webtoon/op/1ea1be684809d2962c0fbf1b38275494c379d6c2,http://webtoon.daum.net/webtoon/view/sadstop,서로 잘 모르는 남녀 이야기,드라마,이별/사랑/실연/스토리
1638,tenpm,밤 10시에 만나,Y,0,20190221142910,9.938493080471552,DAUM WEBTOON/DAUM WEBTOON,20190222141017,1,http://t1.daumcdn.net/webtoon/op/2b1a5135c00f2910f29f293cc8add2b28c0c91a4,http://webtoon.daum.net/webtoon/view/tenpm,2시간 더 빨라진 다음웹툰! 우리 매일 밤 10시에 만나요~,일상,메이크업/에피소드
1361,Frenemy,프레너미,N,0,20170426133444,9.93611859838275,돌석/돌석,20210304000100,180,http://t1.daumcdn.net/webtoon/op/c37274a79663e13a913b0147e290f5a87239d935,http://webtoon.daum.net/webtoon/view/Frenemy,"거만한 천재 소년과 심약한 은둔 고수와의 만남, 재능과 노력만으론 최고가 될 수 없다!",스포츠/드라마,테니스/성장드라마/감동/친구/스토리
1271,doggaebi,도깨비훈장,Y,0,20160222141711,9.934792734047509,박혜림/박혜림,20180513000000,95,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/56CA994C0217850001,http://webtoon.daum.net/webtoon/view/doggaebi,"낯선 섬, 제주도에서 만난 도깨비들이 자꾸만 나를 쫓아온다.",드라마,도깨비/귀신/가족/설화/스토리
1861,chaebol,재벌과의 인터뷰,N,0,20191225102928,9.934542137073782,우다/우다,20210304000100,45,http://t1.daumcdn.net/webtoon/op/add59d2744ef4028d3508ca28f765a9000e49c35,http://webtoon.daum.net/webtoon/view/chaebol,재벌 납치 감금물 작가가 재벌남의 은인이 되었다?!,순정/드라마,재벌/연애/작가/스토리
2121,haksajaeseng,학사재생,N,0,20210208141958,9.934328358208955,윰짝짝/소유현,20210308000000,149,http://t1.daumcdn.net/webtoon/op/4c7ff80e90f5beb77148bd841b4efcad93aa6a94,http://webtoon.daum.net/webtoon/view/haksajaeseng,"천하제일이었던 사내, 금수저를 물고 다시 태어났다! 하지만 인생은 그리 호락호락하지 않다.",무협,회귀/소년/스토리
1356,Garang,가랑가랑,Y,0,20170406172705,9.933683000431097,이이영/이이영,20180316000000,49,http://t1.daumcdn.net/cartoon/58E5FB15025D5F0001,http://webtoon.daum.net/webtoon/view/Garang,우리에게 선택은 언제나 어려운 일이었다.,순정/드라마,첫사랑/친구/학교생활/학원/스토리
1225,destiny_line,실,Y,0,20150708135416,9.933603300733497,보리/보리,20151011000100,14,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/559CACC8017AB30001,http://webtoon.daum.net/webtoon/view/destiny_line,"'다시 돌아가는 거야, 당신에게로!'",순정,인연/조선시대/전생/짝사랑/스토리
1911,kangbest,강경옥 환상집 BEST,Y,15,20200303141142,9.933333333333334,강경옥/강경옥,20200325110037,3,http://t1.daumcdn.net/webtoon/op/2ba5f0589a558325886e07a49e6659830c6055b2,http://webtoon.daum.net/webtoon/view/kangbest,"동화 속 상처와 야망, 집착의 잔혹한 이야기가 강경옥의 시선으로 재창조된다",드라마/스릴러,동화/욕망/집착/스토리
1460,homeofelder,노인의 집,Y,0,20180424120948,9.933049040511728,김종욱/이림,20200219000000,97,http://t1.daumcdn.net/webtoon/op/db4a8113772f6aa55d6049999f52078b50bd0816,http://webtoon.daum.net/webtoon/view/homeofelder,매우 규칙적이고 성실하게 삶을 허비하는 노인의 집에 한 아이가 들어왔다.,드라마,노인/청소년/가족/성장드라마/스토리
